Request id,Pickup point,Status,Request timestamp.3
619,Airport,Trip Completed,2016 11:51:00
867,Airport,Trip Completed,2016 17:57:00
1807,City,Trip Completed,2016 09:17:00
2532,Airport,Trip Completed,2016 21:08:00
3112,City,Trip Completed,2016 08:33:16
3879,Airport,Trip Completed,2016 21:57:28
4270,Airport,Trip Completed,2016 06:15:32
5510,Airport,Trip Completed,2016 05:11:52
6248,City,Trip Completed,2016 17:57:27
267,City,Trip Completed,2016 06:46:00
1467,Airport,Trip Completed,2016 05:08:00
1983,City,Trip Completed,2016 12:30:00
2784,Airport,Trip Completed,2016 04:49:20
3075,City,Trip Completed,2016 08:02:53
3379,City,Trip Completed,2016 14:23:02
3482,Airport,Trip Completed,2016 17:23:18
4652,City,Trip Completed,2016 12:01:02
5335,Airport,Trip Completed,2016 22:24:13
535,Airport,Trip Completed,2016 10:00:00
960,Airport,Trip Completed,2016 18:45:00
1934,Airport,Trip Completed,2016 11:17:00
2083,Airport,Trip Completed,2016 15:46:00
2211,Airport,Trip Completed,2016 18:00:00
3096,Airport,Trip Completed,2016 08:17:29
3881,Airport,Trip Completed,2016 21:54:18
5254,City,Trip Completed,2016 21:23:03
5434,City,Trip Completed,2016 02:41:38
5916,City,Trip Completed,2016 10:00:43
669,City,Trip Completed,2016 13:08:00
1567,Airport,Trip Completed,2016 06:21:00
1826,City,Trip Completed,2016 09:27:00
2102,City,Trip Completed,2016 16:09:00
2847,Airport,Trip Completed,2016 05:34:20
3722,Airport,Trip Completed,2016 19:57:59
4075,City,Trip Completed,2016 02:17:35
4686,City,Trip Completed,2016 13:01:10
5771,Airport,Trip Completed,2016 08:30:06
6106,Airport,Trip Completed,2016 15:01:20
312,City,Trip Completed,2016 07:27:00
577,Airport,Trip Completed,2016 11:03:00
1179,City,Trip Completed,2016 20:58:00
1756,Airport,Trip Completed,2016 08:40:00
2052,City,Trip Completed,2016 14:48:00
2559,City,Trip Completed,2016 21:32:00
3014,City,Trip Completed,2016 07:28:14
3317,City,Trip Completed,2016 12:14:27
4297,City,Trip Completed,2016 06:43:01
5857,Airport,Trip Completed,2016 09:08:50
6690,Airport,Trip Completed,2016 22:41:41
1517,Airport,Trip Completed,2016 05:45:00
1999,Airport,Trip Completed,2016 13:02:00
2960,Airport,Trip Completed,2016 06:50:33
3882,City,Trip Completed,2016 21:53:03
4081,Airport,Trip Completed,2016 02:37:14
4740,City,Trip Completed,2016 14:50:07
5270,City,Trip Completed,2016 21:33:55
6758,Airport,Trip Completed,2016 00:03:39
5741,City,Trip Completed,2016 07:52:51
6087,Airport,Trip Completed,2016 14:28:50
1039,City,Trip Completed,2016 19:31:00
1273,Airport,Trip Completed,2016 22:07:00
2480,City,Trip Completed,2016 20:39:00
4105,City,Trip Completed,2016 03:39:38
4509,City,Trip Completed,2016 09:11:13
4986,Airport,Trip Completed,2016 18:52:32
5898,City,Trip Completed,2016 09:50:28
6142,Airport,Trip Completed,2016 15:50:15
380,Airport,Trip Completed,2016 08:18:00
1050,Airport,Trip Completed,2016 19:39:00
1769,City,Trip Completed,2016 08:57:00
2520,City,Trip Completed,2016 21:05:00
3265,Airport,Trip Completed,2016 10:22:07
4648,City,Trip Completed,2016 11:55:10
449,Airport,Trip Completed,2016 09:08:00
846,Airport,Trip Completed,2016 17:46:00
1346,Airport,Trip Completed,2016 23:39:00
1474,Airport,Trip Completed,2016 05:13:00
2240,City,Trip Completed,2016 18:20:00
3072,Airport,Trip Completed,2016 08:04:57
3459,Airport,Trip Completed,2016 17:03:30
3774,Airport,Trip Completed,2016 20:41:24
4023,City,Trip Completed,2016 23:58:41
4117,City,Trip Completed,2016 04:21:42
4880,Airport,Trip Completed,2016 17:58:46
5568,Airport,Trip Completed,2016 05:47:49
5994,Airport,Trip Completed,2016 11:51:16
1809,Airport,Trip Completed,2016 09:13:00
2064,Airport,Trip Completed,2016 15:08:00
3210,City,Trip Completed,2016 09:47:06
4350,City,Trip Completed,2016 07:24:43
4713,City,Trip Completed,2016 13:31:24
5629,Airport,Trip Completed,2016 06:33:00
6157,Airport,Trip Completed,2016 16:32:51
2030,City,Trip Completed,2016 14:11:00
3226,City,Trip Completed,2016 10:00:17
3353,City,Trip Completed,2016 13:29:44
4293,City,Trip Completed,2016 06:42:36
4936,City,Trip Completed,2016 18:22:17
5661,Airport,Trip Completed,2016 07:08:50
5778,City,Trip Completed,2016 08:22:03
6425,Airport,Trip Completed,2016 19:46:40
45,Airport,Trip Completed,2016 03:17:00
264,City,Trip Completed,2016 06:51:00
1183,City,Trip Completed,2016 21:05:00
1536,Airport,Trip Completed,2016 05:59:00
2437,City,Trip Completed,2016 20:18:00
2641,Airport,Trip Completed,2016 22:28:00
4077,Airport,Trip Completed,2016 02:14:15
4610,City,Trip Completed,2016 10:35:14
5066,Airport,Trip Completed,2016 19:31:20
5666,Airport,Trip Completed,2016 07:04:55
5923,City,Trip Completed,2016 10:07:49
6367,City,Trip Completed,2016 19:04:46
155,City,Trip Completed,2016 05:32:00
310,Airport,Trip Completed,2016 07:24:00
607,City,Trip Completed,2016 11:51:00
1012,City,Trip Completed,2016 19:15:00
1696,Airport,Trip Completed,2016 08:01:00
3076,City,Trip Completed,2016 08:09:04
4198,Airport,Trip Completed,2016 05:32:14
4627,City,Trip Completed,2016 11:13:19
5289,City,Trip Completed,2016 21:43:24
5495,Airport,Trip Completed,2016 05:00:13
6656,Airport,Trip Completed,2016 22:08:42
139,Airport,Trip Completed,2016 05:21:00
215,City,Trip Completed,2016 06:15:00
1816,City,Trip Completed,2016 09:24:00
2505,Airport,Trip Completed,2016 21:03:00
3346,City,Trip Completed,2016 13:01:42
5294,City,Trip Completed,2016 21:45:50
6226,Airport,Trip Completed,2016 17:34:25
6733,Airport,Trip Completed,2016 23:32:44
1027,Airport,Trip Completed,2016 19:18:00
2675,Airport,Trip Completed,2016 23:43:00
3200,City,Trip Completed,2016 09:39:44
3865,City,Trip Completed,2016 21:52:05
4468,City,Trip Completed,2016 08:42:46
5163,Airport,Trip Completed,2016 20:34:30
6009,City,Trip Completed,2016 12:22:35
6448,Airport,Trip Completed,2016 20:02:54
591,City,Trip Completed,2016 11:25:00
709,City,Trip Completed,2016 14:16:00
1167,Airport,Trip Completed,2016 20:50:00
2661,Airport,Trip Completed,2016 23:23:00
2808,City,Trip Completed,2016 05:05:16
3258,Airport,Trip Completed,2016 10:12:51
3413,Airport,Trip Completed,2016 15:32:01
3939,Airport,Trip Completed,2016 22:26:26
4125,City,Trip Completed,2016 04:37:11
4457,City,Trip Completed,2016 08:36:24
4728,City,Trip Completed,2016 14:04:13
5347,Airport,Trip Completed,2016 22:51:47
6147,City,Trip Completed,2016 16:11:02
6496,Airport,Trip Completed,2016 20:33:00
634,City,Trip Completed,2016 12:25:00
939,Airport,Trip Completed,2016 18:25:00
2628,Airport,Trip Completed,2016 22:10:00
3021,City,Trip Completed,2016 07:33:20
4743,City,Trip Completed,2016 14:54:16
4981,City,Trip Completed,2016 18:47:42
5367,Airport,Trip Completed,2016 23:35:34
5471,Airport,Trip Completed,2016 04:48:57
5988,Airport,Trip Completed,2016 11:48:32
6477,Airport,Trip Completed,2016 20:21:26
499,City,Trip Completed,2016 09:39:00
1147,Airport,Trip Completed,2016 20:42:00
1410,Airport,Trip Completed,2016 03:14:00
1804,Airport,Trip Completed,2016 09:12:00
1949,Airport,Trip Completed,2016 11:32:00
2713,City,Trip Completed,2016 01:46:42
2845,City,Trip Completed,2016 05:28:29
3943,Airport,Trip Completed,2016 22:35:38
4792,City,Trip Completed,2016 16:47:15
5207,Airport,Trip Completed,2016 20:57:41
5890,City,Trip Completed,2016 09:43:57
494,City,Trip Completed,2016 09:36:00
1485,City,Trip Completed,2016 05:21:00
2042,City,Trip Completed,2016 14:30:00
2561,Airport,Trip Completed,2016 21:29:00
3813,Airport,Trip Completed,2016 21:06:57
4260,Airport,Trip Completed,2016 06:11:51
4395,City,Trip Completed,2016 08:00:15
5919,City,Trip Completed,2016 10:03:42
6002,Airport,Trip Completed,2016 12:04:15
468,City,Trip Completed,2016 09:20:00
693,Airport,Trip Completed,2016 13:51:00
1178,City,Trip Completed,2016 21:05:00
2103,City,Trip Completed,2016 16:08:00
2292,Airport,Trip Completed,2016 18:46:00
3339,City,Trip Completed,2016 12:40:58
3694,City,Trip Completed,2016 19:33:19
4469,City,Trip Completed,2016 08:45:13
6432,City,Trip Completed,2016 19:50:57
1895,City,Trip Completed,2016 10:20:00
1981,Airport,Trip Completed,2016 12:23:00
3744,Airport,Trip Completed,2016 20:28:11
4433,Airport,Trip Completed,2016 08:26:32
6039,Airport,Trip Completed,2016 13:11:04
6543,City,Trip Completed,2016 20:54:20
110,City,Trip Completed,2016 05:05:00
362,City,Trip Completed,2016 08:01:00
666,Airport,Trip Completed,2016 13:02:00
926,City,Trip Completed,2016 18:28:00
1180,Airport,Trip Completed,2016 21:01:00
1900,City,Trip Completed,2016 10:32:00
2506,City,Trip Completed,2016 21:01:00
3064,City,Trip Completed,2016 08:02:03
3327,Airport,Trip Completed,2016 12:24:41
3601,City,Trip Completed,2016 18:39:00
4768,Airport,Trip Completed,2016 15:39:24
5142,City,Trip Completed,2016 20:17:51
5366,Airport,Trip Completed,2016 23:27:22
5575,City,Trip Completed,2016 05:53:55
5902,City,Trip Completed,2016 09:52:57
6694,Airport,Trip Completed,2016 22:45:44
523,Airport,Trip Completed,2016 09:48:00
747,City,Trip Completed,2016 15:53:00
1371,Airport,Trip Completed,2016 00:22:00
1553,City,Trip Completed,2016 06:09:00
1692,Airport,Trip Completed,2016 07:52:00
2114,City,Trip Completed,2016 16:36:00
2742,City,Trip Completed,2016 03:07:37
4273,City,Trip Completed,2016 06:17:01
4668,City,Trip Completed,2016 12:25:02
5425,City,Trip Completed,2016 02:23:56
5488,City,Trip Completed,2016 04:53:42
5781,City,Trip Completed,2016 08:35:47
5966,Airport,Trip Completed,2016 10:54:27
6122,City,Trip Completed,2016 15:26:06
357,Airport,Trip Completed,2016 08:00:00
1068,City,Trip Completed,2016 19:52:00
2689,Airport,Trip Completed,2016 00:34:03
2791,City,Trip Completed,2016 04:56:20
3321,City,Trip Completed,2016 12:23:02
3423,Airport,Trip Completed,2016 15:52:07
3761,Airport,Trip Completed,2016 20:35:24
4140,City,Trip Completed,2016 04:48:09
4656,City,Trip Completed,2016 12:06:27
4931,Airport,Trip Completed,2016 18:21:52
5268,City,Trip Completed,2016 21:29:35
5811,City,Trip Completed,2016 08:46:30
6139,Airport,Trip Completed,2016 15:45:16
6333,Airport,Trip Completed,2016 18:41:22
773,City,Trip Completed,2016 16:23:00
1123,City,Trip Completed,2016 20:20:00
2667,Airport,Trip Completed,2016 23:35:00
2833,City,Trip Completed,2016 05:27:26
3396,City,Trip Completed,2016 14:59:08
3590,City,Trip Completed,2016 18:31:29
3762,City,Trip Completed,2016 20:38:10
4566,City,Trip Completed,2016 09:48:56
4862,City,Trip Completed,2016 17:37:44
5564,Airport,Trip Completed,2016 05:41:11
6187,City,Trip Completed,2016 17:11:08
6642,City,Trip Completed,2016 22:07:14
322,City,Trip Completed,2016 07:31:00
793,City,Trip Completed,2016 17:04:00
898,Airport,Trip Completed,2016 18:14:00
1258,City,Trip Completed,2016 21:51:00
2832,City,Trip Completed,2016 05:20:16
3139,City,Trip Completed,2016 08:54:04
3438,City,Trip Completed,2016 16:12:53
3966,Airport,Trip Completed,2016 22:50:42
6401,Airport,Trip Completed,2016 19:33:00
204,City,Trip Completed,2016 06:04:00
632,Airport,Trip Completed,2016 12:20:00
763,City,Trip Completed,2016 16:19:00
1786,Airport,Trip Completed,2016 09:03:00
1968,City,Trip Completed,2016 12:10:00
2088,Airport,Trip Completed,2016 15:51:00
2473,Airport,Trip Completed,2016 20:43:00
2869,Airport,Trip Completed,2016 05:50:09
3742,Airport,Trip Completed,2016 20:24:23
4440,Airport,Trip Completed,2016 08:26:29
5234,City,Trip Completed,2016 21:09:47
6354,Airport,Trip Completed,2016 18:59:01
6638,City,Trip Completed,2016 21:59:10
84,City,Trip Completed,2016 04:50:00
1199,City,Trip Completed,2016 21:17:00
1676,Airport,Trip Completed,2016 07:44:00
2774,City,Trip Completed,2016 04:33:38
3220,Airport,Trip Completed,2016 09:51:41
3718,Airport,Trip Completed,2016 19:56:20
4904,Airport,Trip Completed,2016 18:02:23
6527,Airport,Trip Completed,2016 20:54:01
6710,City,Trip Completed,2016 23:02:36
1584,Airport,Trip Completed,2016 06:26:00
1966,Airport,Trip Completed,2016 12:05:00
2827,City,Trip Completed,2016 05:18:31
2945,Airport,Trip Completed,2016 06:34:13
3365,City,Trip Completed,2016 13:47:14
3548,Airport,Trip Completed,2016 18:07:42
3753,City,Trip Completed,2016 20:30:08
4569,Airport,Trip Completed,2016 09:48:17
6309,Airport,Trip Completed,2016 18:29:54
6437,City,Trip Completed,2016 19:53:52
517,Airport,Trip Completed,2016 09:45:00
1406,Airport,Trip Completed,2016 03:02:00
1643,Airport,Trip Completed,2016 07:18:00
2108,Airport,Trip Completed,2016 16:14:00
2647,City,Trip Completed,2016 22:46:00
3129,City,Trip Completed,2016 08:41:49
3738,Airport,Trip Completed,2016 20:15:54
4422,Airport,Trip Completed,2016 08:13:15
4790,City,Trip Completed,2016 16:43:53
5496,City,Trip Completed,2016 04:59:58
6484,Airport,Trip Completed,2016 20:19:45
6731,Airport,Trip Completed,2016 23:23:55
629,Airport,Trip Completed,2016 12:14:00
745,Airport,Trip Completed,2016 15:48:00
1064,City,Trip Completed,2016 19:53:00
1886,Airport,Trip Completed,2016 10:10:00
5608,Airport,Trip Completed,2016 06:18:36
5877,City,Trip Completed,2016 09:37:21
6100,Airport,Trip Completed,2016 14:44:32
6659,Airport,Trip Completed,2016 22:15:45
2162,Airport,Trip Completed,2016 17:34:00
3294,Airport,Trip Completed,2016 11:23:36
3686,City,Trip Completed,2016 19:33:18
4784,City,Trip Completed,2016 16:41:52
5896,City,Trip Completed,2016 09:47:11
6190,City,Trip Completed,2016 17:11:33
6551,City,Trip Completed,2016 21:03:02
145,City,Trip Completed,2016 05:32:00
735,City,Trip Completed,2016 15:27:00
918,Airport,Trip Completed,2016 18:22:00
1478,City,Trip Completed,2016 05:16:00
1957,City,Trip Completed,2016 11:45:00
3097,City,Trip Completed,2016 08:15:34
3981,Airport,Trip Completed,2016 23:13:54
4175,City,Trip Completed,2016 05:11:15
6237,City,Trip Completed,2016 17:50:37
738,City,Trip Completed,2016 15:30:00
2731,City,Trip Completed,2016 02:38:48
2863,Airport,Trip Completed,2016 05:46:42
3528,Airport,Trip Completed,2016 17:50:59
4653,City,Trip Completed,2016 11:58:46
5042,City,Trip Completed,2016 19:21:16
360,Airport,Trip Completed,2016 08:02:00
771,Airport,Trip Completed,2016 16:19:00
1274,City,Trip Completed,2016 22:01:00
1501,City,Trip Completed,2016 05:41:00
1972,City,Trip Completed,2016 12:22:00
2871,City,Trip Completed,2016 05:53:33
3395,City,Trip Completed,2016 14:52:52
3572,City,Trip Completed,2016 18:25:52
4118,Airport,Trip Completed,2016 04:28:35
4739,City,Trip Completed,2016 14:52:43
6556,City,Trip Completed,2016 21:09:57
6677,Airport,Trip Completed,2016 22:29:56
1104,Airport,Trip Completed,2016 20:17:00
1596,Airport,Trip Completed,2016 06:39:00
1835,Airport,Trip Completed,2016 09:35:00
2110,Airport,Trip Completed,2016 16:19:00
2759,Airport,Trip Completed,2016 03:50:03
3010,Airport,Trip Completed,2016 07:26:03
3403,City,Trip Completed,2016 15:16:52
3856,Airport,Trip Completed,2016 21:34:21
4472,City,Trip Completed,2016 08:39:44
5199,City,Trip Completed,2016 20:50:52
5612,City,Trip Completed,2016 06:15:54
6614,Airport,Trip Completed,2016 21:40:39
191,Airport,Trip Completed,2016 05:55:00
333,City,Trip Completed,2016 07:43:00
488,Airport,Trip Completed,2016 09:35:00
1780,City,Trip Completed,2016 08:58:00
2235,Airport,Trip Completed,2016 18:12:00
2516,City,Trip Completed,2016 21:05:00
4209,City,Trip Completed,2016 05:37:01
4726,City,Trip Completed,2016 13:52:52
5088,Airport,Trip Completed,2016 19:52:54
5352,Airport,Trip Completed,2016 23:01:45
6024,Airport,Trip Completed,2016 12:43:09
6196,Airport,Trip Completed,2016 17:19:56
6297,City,Trip Completed,2016 18:21:09
125,City,Trip Completed,2016 05:12:00
1611,City,Trip Completed,2016 06:49:00
1814,City,Trip Completed,2016 09:19:00
3088,City,Trip Completed,2016 08:12:39
3384,Airport,Trip Completed,2016 14:40:53
4218,Airport,Trip Completed,2016 05:38:17
5757,City,Trip Completed,2016 08:12:21
5958,Airport,Trip Completed,2016 10:48:38
6314,City,Trip Completed,2016 18:31:06
249,City,Trip Completed,2016 06:31:00
728,City,Trip Completed,2016 15:05:00
3042,City,Trip Completed,2016 07:38:51
3620,City,Trip Completed,2016 18:54:52
4276,City,Trip Completed,2016 06:22:04
4735,City,Trip Completed,2016 14:43:10
1353,Airport,Trip Completed,2016 23:51:00
1568,City,Trip Completed,2016 06:18:00
2465,City,Trip Completed,2016 20:38:00
3688,City,Trip Completed,2016 19:39:52
4727,City,Trip Completed,2016 14:06:18
5348,City,Trip Completed,2016 22:50:55
6537,Airport,Trip Completed,2016 20:52:18
1941,Airport,Trip Completed,2016 11:29:00
3766,Airport,Trip Completed,2016 20:33:01
4243,Airport,Trip Completed,2016 06:02:47
4717,Airport,Trip Completed,2016 13:42:45
5682,City,Trip Completed,2016 07:16:19
6343,City,Trip Completed,2016 18:44:07
6726,Airport,Trip Completed,2016 23:22:28
238,City,Trip Completed,2016 06:27:00
2624,City,Trip Completed,2016 22:16:00
2787,City,Trip Completed,2016 04:54:46
3992,City,Trip Completed,2016 23:24:52
4974,City,Trip Completed,2016 18:44:58
5478,Airport,Trip Completed,2016 04:43:40
5641,City,Trip Completed,2016 06:46:40
128,City,Trip Completed,2016 05:12:00
627,City,Trip Completed,2016 12:12:00
1766,Airport,Trip Completed,2016 08:45:00
2089,City,Trip Completed,2016 15:49:00
3565,City,Trip Completed,2016 18:13:10
3954,Airport,Trip Completed,2016 22:43:45
4204,City,Trip Completed,2016 05:36:10
4651,City,Trip Completed,2016 11:54:26
5814,City,Trip Completed,2016 08:43:57
6062,City,Trip Completed,2016 13:48:40
118,Airport,Trip Completed,2016 05:11:00
339,Airport,Trip Completed,2016 07:49:00
766,City,Trip Completed,2016 16:23:00
1133,Airport,Trip Completed,2016 20:27:00
2458,City,Trip Completed,2016 20:33:00
3060,Airport,Trip Completed,2016 07:56:53
3653,City,Trip Completed,2016 19:18:27
4321,City,Trip Completed,2016 06:56:17
5672,Airport,Trip Completed,2016 07:07:07
1698,City,Trip Completed,2016 07:56:00
2098,City,Trip Completed,2016 16:12:00
2733,City,Trip Completed,2016 02:37:50
2917,Airport,Trip Completed,2016 06:21:57
3151,Airport,Trip Completed,2016 09:00:37
3358,City,Trip Completed,2016 13:30:22
5435,City,Trip Completed,2016 02:52:10
5717,Airport,Trip Completed,2016 07:41:01
635,Airport,Trip Completed,2016 12:25:00
1275,Airport,Trip Completed,2016 22:05:00
1562,Airport,Trip Completed,2016 06:16:00
2908,Airport,Trip Completed,2016 06:14:46
3414,City,Trip Completed,2016 15:28:23
3638,Airport,Trip Completed,2016 19:09:50
5132,Airport,Trip Completed,2016 20:11:42
5422,City,Trip Completed,2016 02:09:09
5724,City,Trip Completed,2016 07:40:09
6026,Airport,Trip Completed,2016 12:50:41
6416,City,Trip Completed,2016 19:42:15
995,Airport,Trip Completed,2016 19:11:00
1771,City,Trip Completed,2016 08:56:00
2729,Airport,Trip Completed,2016 02:36:56
3416,City,Trip Completed,2016 15:31:59
4286,City,Trip Completed,2016 06:35:07
5012,Airport,Trip Completed,2016 18:59:54
6761,Airport,Trip Completed,2016 00:05:00
5638,City,Trip Completed,2016 06:40:51
6191,Airport,Trip Completed,2016 17:17:50
443,City,Trip Completed,2016 09:05:00
1299,City,Trip Completed,2016 22:22:00
1637,Airport,Trip Completed,2016 07:09:00
2099,Airport,Trip Completed,2016 16:03:00
2349,Airport,Trip Completed,2016 19:22:00
3081,City,Trip Completed,2016 08:10:39
3555,Airport,Trip Completed,2016 18:08:02
3798,City,Trip Completed,2016 20:55:06
3982,Airport,Trip Completed,2016 23:16:52
4082,Airport,Trip Completed,2016 02:37:56
4672,City,Trip Completed,2016 12:36:18
4937,City,Trip Completed,2016 18:22:21
5594,Airport,Trip Completed,2016 06:05:47
540,City,Trip Completed,2016 09:56:00
1533,City,Trip Completed,2016 05:56:00
2359,City,Trip Completed,2016 19:31:00
2603,City,Trip Completed,2016 22:00:00
2965,Airport,Trip Completed,2016 06:56:35
4002,City,Trip Completed,2016 23:39:25
4364,Airport,Trip Completed,2016 07:26:46
4614,Airport,Trip Completed,2016 10:51:16
5235,Airport,Trip Completed,2016 21:08:55
5979,Airport,Trip Completed,2016 11:35:28
6145,Airport,Trip Completed,2016 16:08:41
6363,Airport,Trip Completed,2016 19:07:09
2481,City,Trip Completed,2016 20:40:00
3328,Airport,Trip Completed,2016 12:28:51
3908,Airport,Trip Completed,2016 22:07:15
4416,City,Trip Completed,2016 08:12:46
4966,Airport,Trip Completed,2016 18:35:40
5243,City,Trip Completed,2016 21:12:10
5697,City,Trip Completed,2016 07:32:38
5864,Airport,Trip Completed,2016 09:22:59
6530,Airport,Trip Completed,2016 20:51:59
686,City,Trip Completed,2016 13:44:00
777,Airport,Trip Completed,2016 16:41:00
1455,Airport,Trip Completed,2016 04:56:00
1906,Airport,Trip Completed,2016 10:38:00
2432,Airport,Trip Completed,2016 20:15:00
2977,Airport,Trip Completed,2016 06:52:35
3964,City,Trip Completed,2016 22:53:20
4182,Airport,Trip Completed,2016 05:24:02
4679,City,Trip Completed,2016 12:44:59
4997,City,Trip Completed,2016 18:57:20
5600,City,Trip Completed,2016 06:09:20
5910,Airport,Trip Completed,2016 10:00:43
6597,Airport,Trip Completed,2016 21:35:04
64,City,Trip Completed,2016 04:16:00
687,Airport,Trip Completed,2016 13:41:00
1625,City,Trip Completed,2016 07:01:00
1958,Airport,Trip Completed,2016 11:41:00
2160,Airport,Trip Completed,2016 17:32:00
2517,Airport,Trip Completed,2016 21:04:00
2894,City,Trip Completed,2016 06:01:37
3739,Airport,Trip Completed,2016 20:21:38
4737,City,Trip Completed,2016 14:37:56
5064,Airport,Trip Completed,2016 19:28:03
313,City,Trip Completed,2016 07:26:00
2107,City,Trip Completed,2016 16:18:00
2819,City,Trip Completed,2016 05:12:03
2932,Airport,Trip Completed,2016 06:28:49
3593,City,Trip Completed,2016 18:34:17
4760,City,Trip Completed,2016 15:19:28
6681,Airport,Trip Completed,2016 22:32:05
234,City,Trip Completed,2016 06:27:00
425,Airport,Trip Completed,2016 08:48:00
1528,City,Trip Completed,2016 05:58:00
1671,Airport,Trip Completed,2016 07:41:00
2223,City,Trip Completed,2016 18:07:00
3268,Airport,Trip Completed,2016 10:27:35
3530,Airport,Trip Completed,2016 17:53:27
4765,Airport,Trip Completed,2016 15:36:30
531,City,Trip Completed,2016 10:01:00
1721,City,Trip Completed,2016 08:10:00
2665,Airport,Trip Completed,2016 23:30:00
2951,City,Trip Completed,2016 06:40:10
3786,Airport,Trip Completed,2016 20:47:32
4049,City,Trip Completed,2016 01:03:12
4079,Airport,Trip Completed,2016 02:31:51
4233,Airport,Trip Completed,2016 05:51:41
4884,Airport,Trip Completed,2016 17:53:38
6350,City,Trip Completed,2016 18:57:26
1914,Airport,Trip Completed,2016 10:42:00
3205,City,Trip Completed,2016 09:38:10
3448,City,Trip Completed,2016 16:40:59
4628,City,Trip Completed,2016 11:13:24
5418,City,Trip Completed,2016 02:03:39
5654,City,Trip Completed,2016 06:56:12
614,City,Trip Completed,2016 11:49:00
1340,City,Trip Completed,2016 23:22:00
1576,City,Trip Completed,2016 06:27:00
1974,Airport,Trip Completed,2016 12:19:00
2597,City,Trip Completed,2016 21:52:00
4690,City,Trip Completed,2016 13:04:08
6267,Airport,Trip Completed,2016 18:10:03
660,Airport,Trip Completed,2016 12:55:00
943,Airport,Trip Completed,2016 18:34:00
1445,Airport,Trip Completed,2016 04:45:00
3070,City,Trip Completed,2016 07:53:05
3440,City,Trip Completed,2016 16:26:57
4503,City,Trip Completed,2016 09:05:45
4771,Airport,Trip Completed,2016 15:57:43
4797,City,Trip Completed,2016 16:55:26
4898,Airport,Trip Completed,2016 18:02:53
172,Airport,Trip Completed,2016 05:41:00
518,City,Trip Completed,2016 09:46:00
843,Airport,Trip Completed,2016 17:38:00
1070,City,Trip Completed,2016 19:58:00
2078,Airport,Trip Completed,2016 15:36:00
5382,City,Trip Completed,2016 00:08:01
4119,City,Trip Completed,2016 04:22:12
4623,City,Trip Completed,2016 11:00:10
620,City,Trip Completed,2016 12:04:00
1286,Airport,Trip Completed,2016 22:18:00
2482,City,Trip Completed,2016 20:45:00
3672,Airport,Trip Completed,2016 19:28:50
3959,City,Trip Completed,2016 22:51:04
4659,City,Trip Completed,2016 12:10:38
5060,Airport,Trip Completed,2016 19:26:16
5942,City,Trip Completed,2016 10:29:33
1349,Airport,Trip Completed,2016 23:41:00
2192,Airport,Trip Completed,2016 17:44:00
2323,City,Trip Completed,2016 19:06:00
2717,City,Trip Completed,2016 02:00:13
3338,Airport,Trip Completed,2016 12:36:47
4475,City,Trip Completed,2016 08:44:24
4786,City,Trip Completed,2016 16:40:36
5017,City,Trip Completed,2016 19:09:05
5580,City,Trip Completed,2016 05:51:48
6066,Airport,Trip Completed,2016 13:54:34
418,City,Trip Completed,2016 08:42:00
608,Airport,Trip Completed,2016 11:57:00
1842,City,Trip Completed,2016 09:40:00
4004,City,Trip Completed,2016 23:40:41
5791,City,Trip Completed,2016 08:35:12
6548,Airport,Trip Completed,2016 20:56:32
121,Airport,Trip Completed,2016 05:13:00
571,Airport,Trip Completed,2016 10:44:00
2444,Airport,Trip Completed,2016 20:23:00
2815,City,Trip Completed,2016 05:13:32
3510,Airport,Trip Completed,2016 17:42:32
5013,City,Trip Completed,2016 19:01:56
5457,City,Trip Completed,2016 03:56:41
5940,City,Trip Completed,2016 10:18:26
6197,City,Trip Completed,2016 17:24:24
6660,Airport,Trip Completed,2016 22:15:00
584,Airport,Trip Completed,2016 11:14:00
1741,Airport,Trip Completed,2016 08:32:00
2031,City,Trip Completed,2016 14:17:00
3158,Airport,Trip Completed,2016 09:07:00
3955,Airport,Trip Completed,2016 22:56:09
4384,City,Trip Completed,2016 07:49:20
5224,City,Trip Completed,2016 21:07:44
5394,Airport,Trip Completed,2016 00:47:57
5511,Airport,Trip Completed,2016 05:10:13
744,City,Trip Completed,2016 15:41:00
1634,Airport,Trip Completed,2016 07:13:00
1911,Airport,Trip Completed,2016 10:43:00
2608,Airport,Trip Completed,2016 21:59:00
3456,Airport,Trip Completed,2016 16:59:22
3561,City,Trip Completed,2016 18:14:34
5216,Airport,Trip Completed,2016 20:56:47
5573,City,Trip Completed,2016 05:48:54
5952,Airport,Trip Completed,2016 10:42:35
6093,Airport,Trip Completed,2016 14:34:33
6749,Airport,Trip Completed,2016 23:48:42
250,Airport,Trip Completed,2016 06:29:00
781,City,Trip Completed,2016 16:40:00
1681,Airport,Trip Completed,2016 07:53:00
3924,Airport,Trip Completed,2016 22:21:56
5271,City,Trip Completed,2016 21:33:30
5899,Airport,Trip Completed,2016 09:55:05
6273,City,Trip Completed,2016 18:09:45
630,Airport,Trip Completed,2016 12:16:00
679,City,Trip Completed,2016 13:22:00
782,Airport,Trip Completed,2016 16:46:00
1329,Airport,Trip Completed,2016 23:10:00
